student_id,name,cpi,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,pref_13,pref_14,pref_15,pref_16,pref_17,pref_18,pref_19,pref_20,pref_21,pref_22,pref_23,pref_24,pref_25,pref_26,pref_27,pref_28,pref_29,pref_30,pref_31
39,student39,8.39,F13,F04,F22,F09,F19,F10,F16,F08,F14,F07,F03,F26,F27,F01,F11,F30,F25,F21,F17,F31,F05,F28,F24,F02,F29,F23,F12,F06,F20,F15,F18
40,student40,6.38,F08,F07,F05,F22,F04,F13,F14,F09,F01,F24,F28,F11,F19,F02,F26,F27,F18,F25,F12,F06,F15,F16,F10,F23,F20,F29,F21,F17,F03,F30,F31
41,student41,7.11,F16,F23,F28,F10,F25,F02,F27,F13,F24,F01,F05,F04,F22,F29,F11,F07,F15,F12,F06,F20,F14,F19,F09,F18,F26,F08,F21,F17,F03,F31,F30
42,student42,7.75,F26,F14,F09,F19,F11,F01,F21,F07,F10,F03,F15,F16,F28,F23,F05,F08,F31,F17,F30,F04,F27,F25,F13,F29,F06,F22,F12,F24,F18,F02,F20
43,student43,7.61,F04,F26,F18,F09,F13,F22,F23,F07,F24,F11,F19,F01,F27,F05,F16,F10,F15,F06,F12,F29,F02,F28,F20,F03,F25,F21,F17,F30,F31,F08,F14
44,student44,7.05,F14,F09,F27,F26,F11,F21,F17,F03,F30,F31,F19,F02,F05,F04,F13,F22,F29,F28,F06,F10,F16,F07,F08,F23,F15,F12,F24,F20,F01,F18,F25
45,student45,7.91,F20,F19,F07,F06,F10,F29,F22,F04,F15,F12,F23,F14,F28,F02,F24,F27,F05,F21,F17,F01,F31,F30,F25,F26,F18,F09,F08,F11,F03,F13,F16
46,student46,6.97,F27,F13,F28,F25,F22,F16,F23,F05,F29,F07,F08,F10,F20,F12,F19,F02,F24,F17,F11,F09,F03,F18,F21,F01,F26,F31,F15,F06,F30,F04,F14
47,student47,6.54,F28,F29,F27,F10,F16,F13,F25,F08,F05,F04,F07,F22,F11,F02,F09,F14,F19,F01,F06,F15,F12,F23,F20,F26,F24,F21,F17,F03,F30,F31,F18
48,student48,8.62,F08,F22,F10,F07,F13,F04,F14,F19,F09,F06,F12,F05,F29,F26,F28,F20,F23,F16,F15,F02,F11,F27,F24,F01,F18,F25,F21,F17,F03,F30,F31
49,student49,8.92,F16,F25,F09,F01,F27,F13,F23,F28,F14,F04,F19,F22,F02,F11,F26,F07,F15,F05,F10,F20,F08,F06,F12,F24,F18,F29,F17,F21,F31,F03,F30
50,student50,7.28,F10,F11,F23,F28,F16,F14,F20,F27,F05,F07,F12,F06,F08,F13,F02,F22,F25,F15,F29,F01,F26,F04,F09,F19,F24,F18,F21,F17,F03,F30,F31
51,student51,8.06,F07,F14,F30,F31,F03,F01,F19,F05,F20,F06,F17,F21,F15,F22,F02,F10,F13,F27,F28,F29,F04,F26,F11,F09,F08,F25,F24,F16,F12,F23,F18
52,student52,5.64,F01,F19,F11,F14,F04,F09,F07,F22,F26,F05,F08,F10,F28,F13,F18,F16,F27,F02,F06,F20,F24,F15,F12,F23,F25,F29,F21,F17,F03,F30,F31
53,student53,8.03,F14,F19,F11,F09,F01,F26,F07,F15,F23,F13,F22,F08,F05,F04,F16,F12,F06,F20,F28,F02,F24,F27,F18,F10,F25,F21,F17,F03,F30,F31,F29
54,student54,6.56,F13,F12,F16,F04,F22,F07,F08,F20,F15,F10,F05,F24,F06,F23,F09,F27,F26,F19,F30,F11,F14,F01,F21,F03,F31,F17,F25,F28,F29,F02,F18
55,student55,5.91,F15,F12,F28,F06,F05,F07,F10,F20,F08,F04,F22,F13,F14,F09,F19,F01,F26,F27,F25,F03,F17,F21,F30,F31,F23,F16,F02,F29,F18,F24,F11
56,student56,6.28,F22,F13,F08,F07,F05,F09,F19,F14,F04,F10,F16,F20,F15,F28,F23,F06,F12,F11,F01,F27,F24,F02,F18,F29,F26,F25,F21,F17,F03,F31,F30
57,student57,5.82,F16,F10,F13,F05,F29,F06,F12,F22,F07,F15,F04,F28,F19,F08,F14,F02,F25,F30,F31,F03,F21,F17,F26,F01,F11,F27,F18,F09,F23,F24,F20
58,student58,9.38,F01,F11,F09,F18,F14,F10,F02,F07,F26,F22,F31,F30,F17,F25,F04,F05,F19,F16,F15,F08,F21,F03,F13,F20,F29,F23,F28,F27,F12,F06,F24
59,student59,6.63,F03,F08,F26,F19,F09,F14,F01,F02,F11,F18,F10,F05,F07,F15,F06,F16,F20,F23,F28,F27,F04,F22,F24,F13,F12,F29,F25,F30,F31,F21,F17
60,student60,8.66,F09,F14,F19,F13,F04,F08,F01,F05,F11,F10,F28,F16,F07,F22,F15,F06,F23,F20,F27,F26,F02,F24,F12,F29,F18,F25,F21,F17,F31,F30,F03
61,student61,8.66,F05,F20,F07,F12,F08,F15,F06,F10,F13,F23,F24,F22,F04,F11,F27,F19,F09,F14,F28,F01,F16,F29,F02,F26,F18,F21,F17,F03,F25,F30,F31
62,student62,9.32,F05,F20,F07,F12,F08,F15,F06,F10,F13,F23,F24,F22,F04,F11,F27,F19,F09,F14,F28,F01,F16,F29,F02,F26,F18,F21,F17,F03,F25,F30,F31
63,student63,8.32,F18,F25,F22,F26,F11,F17,F03,F07,F04,F29,F19,F05,F13,F16,F15,F12,F14,F06,F09,F23,F20,F27,F28,F01,F31,F21,F10,F02,F24,F08,F30
64,student64,6.16,F18,F01,F02,F27,F11,F13,F06,F26,F07,F29,F23,F16,F19,F05,F04,F28,F22,F20,F17,F21,F03,F10,F24,F31,F08,F25,F30,F12,F09,F15,F14
65,student65,5.76,F12,F11,F20,F19,F02,F07,F05,F10,F16,F15,F06,F23,F28,F14,F09,F24,F27,F01,F18,F26,F25,F21,F17,F03,F30,F31,F13,F08,F04,F29,F22
66,student66,6.8,F09,F01,F26,F11,F13,F08,F05,F14,F02,F07,F04,F12,F15,F22,F19,F16,F10,F27,F23,F28,F20,F25,F06,F29,F21,F03,F17,F18,F24,F30,F31
67,student67,6.18,F13,F08,F12,F11,F05,F02,F28,F22,F07,F10,F04,F16,F09,F23,F20,F25,F15,F27,F24,F19,F14,F30,F06,F01,F18,F26,F21,F17,F03,F31,F29
68,student68,6.87,F19,F01,F18,F11,F26,F14,F02,F09,F24,F22,F05,F07,F13,F29,F04,F08,F27,F30,F03,F17,F21,F31,F16,F15,F12,F06,F23,F20,F10,F28,F25
69,student69,7.67,F09,F08,F07,F14,F13,F22,F05,F04,F10,F16,F23,F19,F28,F20,F02,F01,F15,F11,F27,F06,F12,F24,F26,F25,F18,F21,F03,F17,F30,F29,F31
70,student70,7.03,F21,F10,F13,F09,F28,F07,F05,F04,F11,F23,F03,F17,F16,F29,F22,F15,F12,F06,F20,F19,F24,F27,F01,F26,F30,F31,F02,F14,F25,F18,F08
71,student71,6.93,F23,F16,F28,F10,F06,F12,F13,F15,F20,F27,F22,F08,F05,F04,F14,F19,F09,F02,F11,F01,F21,F17,F03,F30,F31,F07,F24,F26,F29,F25,F18
72,student72,7.47,F22,F07,F04,F05,F10,F13,F08,F09,F14,F16,F26,F01,F19,F27,F20,F11,F25,F21,F17,F03,F06,F02,F12,F31,F30,F28,F29,F23,F15,F18,F24
